First Name, Last Name, Nickname, Twitter, Occupation, Sex, Image, Wikia, Location, Season Name, Season Number, Character Type, Age, Placement, Days Lasted, Votes Against, Starting Tribe, Swapped Tribe, Med Evac, Quit, Tribe Wins, Individual Wins,
"Sandra","Diaz-Twine","","","Office assistant","F","http://vignette2.wikia.nocookie.net/survivor/images/9/93/S7_sandra_t.jpg/revision/latest?cb=20120829190425","http://survivor.wikia.com/wiki/Sandra_Diaz-Twine","Fort Lewis, WA","Game Changers","34","Mommy Dearest","42","15","1","0","Mana","","0","0","0","0",
"Stephanie","Dill","","","Firefighter","F","http://vignette2.wikia.nocookie.net/survivor/images/d/d7/S5_stephanie_t.jpg/revision/latest?cb=20120829021526","http://survivor.wikia.com/wiki/Stephanie_Dill","Fayetteville, AR","Thailand","5","Meredith Grey","29","12","15","5","","","0","0","4","0",
"Danielle","DiLorenzo","","","Medical Sales Rep.","F","http://vignette3.wikia.nocookie.net/survivor/images/1/1d/S12_danielle_t.jpg/revision/latest?cb=20120830001842","http://survivor.wikia.com/wiki/Danielle_DiLorenzo","Pompano Beach, FL","Panama: Exile Island","12","G.I. Jane","24","2","39","4","","","0","0","6","3",
"Danielle","DiLorenzo","","","Medical Sales Rep.","F","http://vignette3.wikia.nocookie.net/survivor/images/1/1d/S12_danielle_t.jpg/revision/latest?cb=20120830001842","http://survivor.wikia.com/wiki/Danielle_DiLorenzo","Pompano Beach, FL","Heroes vs Villains","20","G.I. Jane","28","7","33","4","","","0","0","0","0",
"Colby","Donaldson","","","Auto CustomizerTV Host","M","http://vignette1.wikia.nocookie.net/survivor/images/e/ea/S2_colby_t.jpg/revision/latest?cb=20120828061342","http://survivor.wikia.com/wiki/Colby_Donaldson","Dallas, TX","The Australian Outback","2","John McClane","26","2","42","9","","","0","0","4","8",
"Colby","Donaldson","","","Auto CustomizerTV Host","M","http://vignette1.wikia.nocookie.net/survivor/images/e/ea/S2_colby_t.jpg/revision/latest?cb=20120828061342","http://survivor.wikia.com/wiki/Colby_Donaldson","Dallas, TX","All-Stars","8","John McClane","29","12","19","4","","","0","0","0","0",
"Colby","Donaldson","","","Auto CustomizerTV Host","M","http://vignette1.wikia.nocookie.net/survivor/images/e/ea/S2_colby_t.jpg/revision/latest?cb=20120828061342","http://survivor.wikia.com/wiki/Colby_Donaldson","Dallas, TX","Heroes vs Villains","20","John McClane","35","5","37","7","","","0","0","0","0",
"Joe","Dowdle","","","Real Estate Sales","M","http://vignette3.wikia.nocookie.net/survivor/images/2/2e/S18_joe_t.jpg/revision/latest?cb=20120830164645","http://survivor.wikia.com/wiki/Joe_Dowdle","Austin, TX","Tocantins","18","Seduce and Destroy","26","10","20","1","","","0","0","5","0",
"Ben","Driebergen","","","Marine","M","https://vignette.wikia.nocookie.net/survivor/images/2/25/S35_Ben_Driebergen.jpg/revision/latest?cb=20170830170621","http://survivor.wikia.com/wiki/Ben_Driebergen","Boise, Idaho","Heroes vs. Healers vs. Hustlers","35","Good Ol' Boy","18","1","1","0","","","0","0","0","0",
"Hope","Driskill","","","Pre Law Student","F","http://vignette1.wikia.nocookie.net/survivor/images/6/63/S26_hope_t.jpg/revision/latest?cb=20130111183731","http://survivor.wikia.com/wiki/Hope_Driskill","Jefferson City, MO","Caramoan: Fans vs Favourites 2","26","Secretly Smart Bikini Babe","23","18","7","8","","","0","0","1","0",
"Jaime","Dugan","","","Student","F","http://vignette2.wikia.nocookie.net/survivor/images/a/ab/S15_jaime_t.jpg/revision/latest?cb=20120830041706","http://survivor.wikia.com/wiki/Jaime_Dugan","Spartanburg, SC","China","15","Little Red Riding Hood","22","10","21","7","","","0","0","3","0",
"Spencer","Duhm","","","Student","M","http://vignette2.wikia.nocookie.net/survivor/images/2/2b/S18_spencer_t.jpg/revision/latest?cb=20120830164545","http://survivor.wikia.com/wiki/Spencer_Duhm","Lakeland, FL","Tocantins","18","Social Butterfly (Perez Hilton)","18","12","15","5","","","0","0","5","0",
"Whitney","Duncan","","","Country Music Singer","F","http://vignette1.wikia.nocookie.net/survivor/images/e/e2/S23_whitney_t.jpg/revision/latest?cb=20120830203229","http://survivor.wikia.com/wiki/Whitney_Duncan","Nashville, TN","South Pacific","23","Siren","26","9","28","7","","","0","0","4","1",
"Trish","Dunn","","","Sales Executive","F","http://vignette3.wikia.nocookie.net/survivor/images/9/9b/S7_trish_t.jpg/revision/latest?cb=20120829190504","http://survivor.wikia.com/wiki/Trish_Dunn","Annapolis, MD","Pearl Islands","7","Tough Old Broad","42","13","18","4","","","0","0","7","0",
"Erica","Durousseau","","","Non-Profit Fundraiser","F","http://vignette3.wikia.nocookie.net/survivor/images/5/5e/S14_erica_t.jpg/revision/latest?cb=20120830033932","http://survivor.wikia.com/wiki/Erica_Durousseau","Lake Charles, LA","Fiji","14","Oh No You Didn't!","26","18","6","6","","","0","0","0","0",
"Ciera","Eastin","","","Cosmetology Student","F","http://vignette2.wikia.nocookie.net/survivor/images/1/1d/S27_ciera_t.jpg/revision/latest?cb=20130821173721","http://survivor.wikia.com/wiki/Ciera_Eastin","Salem, OR","Blood vs. Water","27","Chelsea Handler","24","5","37","14","","","0","0","3","1",
"Ciera","Eastin","","","Cosmetology Student","F","http://vignette2.wikia.nocookie.net/survivor/images/1/1d/S27_ciera_t.jpg/revision/latest?cb=20130821173721","http://survivor.wikia.com/wiki/Ciera_Eastin","Salem, OR","Cambodia: Second Chance","31","Chelsea Handler","27","10","26","10","","","0","0","0","0",
"Ciera","Eastin","","","Cosmetology Student","F","http://vignette2.wikia.nocookie.net/survivor/images/1/1d/S27_ciera_t.jpg/revision/latest?cb=20130821173721","http://survivor.wikia.com/wiki/Ciera_Eastin","Salem, OR","Game Changers","34","Chelsea Handler","28","20","1","0","Mana","","0","0","0","0",
"Carolina","Eastwood","","","Bartender","F","http://vignette3.wikia.nocookie.net/survivor/images/7/73/S18_carolina_t.jpg/revision/latest?cb=20120830164751","http://survivor.wikia.com/wiki/Carolina_Eastwood","West Hollywood, CA","Tocantins","18","Oh No You Didn't!","26","16","3","7","","","0","0","0","0",
"Debb","Eaton","","","Corrections Officer","F","http://vignette2.wikia.nocookie.net/survivor/images/3/3e/S2_debb_t.jpg/revision/latest?cb=20120828061355","http://survivor.wikia.com/wiki/Debb_Eaton","Milan, NH","The Australian Outback","2","Crazy Cat Lady","45","16","3","7","","","0","0","0","0",
"Kat","Edorsson","","","Timeshare representative;Full Time Student/Sales","F","http://vignette1.wikia.nocookie.net/survivor/images/4/4d/S24_kat_t.jpg/revision/latest?cb=20120830202621","http://survivor.wikia.com/wiki/Kat_Edorsson","Orlando, FL","One World","24","Little Red Riding Hood","22","7","33","7","","","0","0","6","2",
"Kat","Edorsson","","","Timeshare representative;Full Time Student/Sales","F","http://vignette1.wikia.nocookie.net/survivor/images/4/4d/S24_kat_t.jpg/revision/latest?cb=20120830202621","http://survivor.wikia.com/wiki/Kat_Edorsson","Orlando, FL","Blood vs. Water","27","Little Red Riding Hood","24","14","17","5","","","0","0","0","0",
"Shannon","Elkins","","","Pest Control company owner","M","http://vignette4.wikia.nocookie.net/survivor/images/1/15/S21_shannon_t.jpg/revision/latest?cb=20120830204057","http://survivor.wikia.com/wiki/Shannon_Elkins","Lafayette, LA","Nicaragua","21","Heisenberg","30","19","6","7","","","0","0","1","0",
"Ali","Elliott","","","Celebrity Assistant","F","https://vignette.wikia.nocookie.net/survivor/images/f/fb/S35_Ali_Elliott.jpg/revision/latest?cb=20170830170532","http://survivor.wikia.com/wiki/Ali_Elliott","Los Angeles, California","Heroes vs. Healers vs. Hustlers","35","Little Red Riding Hood","18","13","1","0","","","0","0","0","0",
"Hunter","Ellis","","","Former Navy Fighter Pilot","M","http://vignette3.wikia.nocookie.net/survivor/images/0/07/S4_hunter_t.jpg/revision/latest?cb=20120828082535","http://survivor.wikia.com/wiki/Hunter_Ellis","La Jolla, CA","Marquesas","4","True Grit","33","14","9","4","","","0","0","0","0",
"Matthew","Elrod","","","Pre-med student","M","http://vignette2.wikia.nocookie.net/survivor/images/8/81/S22_matthew_t.jpg/revision/latest?cb=20120830203456","http://survivor.wikia.com/wiki/Matthew_Elrod","Nashville, TN","Redemption Island","22","Ponyboy","22","7","36","10","","","0","0","0","10",
"Paschal","English","","","Judge (retired)","M","http://vignette3.wikia.nocookie.net/survivor/images/1/18/S4_paschal_t.jpg/revision/latest?cb=20120828082629","http://survivor.wikia.com/wiki/Paschal_English","Thomaston, GA","Marquesas","4","Mr. Miyagi","56","4","37","0","","","0","0","8","2",
"Keith","Famie","","","Chef","M","http://vignette1.wikia.nocookie.net/survivor/images/b/b7/S2_keith_t.jpg/revision/latest?cb=20120828061453","http://survivor.wikia.com/wiki/Keith_Famie","West Bloomfield, MI","The Australian Outback","2","Mr. Miyagi","40","3","41","10","","","0","0","4","2",
"Stephannie","Favor","","","Nursing Student","F","http://vignette2.wikia.nocookie.net/survivor/images/c/cb/S13_stephannie_t.jpg/revision/latest?cb=20120830005919","http://survivor.wikia.com/wiki/Stephannie_Favor","Columbia, SC","Cook Islands","13","I Can See Your Periscope","35","16","14","9","","","0","0","3","0",
"Cirie","Fields","","","Nurse","F","http://vignette1.wikia.nocookie.net/survivor/images/7/78/S12_cirie_t.jpg/revision/latest?cb=20120830001759","http://survivor.wikia.com/wiki/Cirie_Fields","Walterboro, SC","Panama: Exile Island","12","Mommy Dearest","35","4","36","3","","","0","0","6","1",
"Cirie","Fields","","","Nurse","F","http://vignette1.wikia.nocookie.net/survivor/images/7/78/S12_cirie_t.jpg/revision/latest?cb=20120830001759","http://survivor.wikia.com/wiki/Cirie_Fields","Walterboro, SC","Micronesia: Fans vs Favourites","16","Mommy Dearest","37","3","38","3","","","0","0","0","0",
"Cirie","Fields","","","Nurse","F","http://vignette1.wikia.nocookie.net/survivor/images/7/78/S12_cirie_t.jpg/revision/latest?cb=20120830001759","http://survivor.wikia.com/wiki/Cirie_Fields","Walterboro, SC","Heroes vs Villains","20","Mommy Dearest","39","17","11","3","","","0","0","0","0",
"Cirie","Fields","","","Nurse","F","http://vignette1.wikia.nocookie.net/survivor/images/7/78/S12_cirie_t.jpg/revision/latest?cb=20120830001759","http://survivor.wikia.com/wiki/Cirie_Fields","Walterboro, SC","Game Changers","34","Mommy Dearest","46","6","1","0","Nuku","","0","0","0","0",
"Figgy","Figueroa","","","Bartender","F","http://vignette3.wikia.nocookie.net/survivor/images/d/de/S33-jessica-figueroa.jpg/revision/latest?cb=20160817172322","http://survivor.wikia.com/wiki/Figgy_Figueroa","Nashville, Tennessee","Millennials vs Gen X","33","Lady Gaga","18","15","18","6","","","0","0","0","0",
"Elisabeth","Filarski","","","Footwear Designer","F","http://vignette2.wikia.nocookie.net/survivor/images/7/77/S2_elisabeth_t.jpg/revision/latest?cb=20120828061409","http://survivor.wikia.com/wiki/Elisabeth_Filarski","Boston, MA","The Australian Outback","2","Secretly Smart Bikini Babe","23","4","39","5","","","0","0","6","0",
"John","Fincher","","","Rocket Scientist","M","http://vignette3.wikia.nocookie.net/survivor/images/a/a6/S19_john_t.jpg/revision/latest?cb=20120830170528","http://survivor.wikia.com/wiki/John_Fincher","Los Angeles, CA","Samoa","19","Seduce and Destroy","25","9","30","7","","","0","0","8","2",
"Brady","Finta","","","FBI Agent","M","http://vignette2.wikia.nocookie.net/survivor/images/a/a6/S9_brady_t.jpg/revision/latest?cb=20120829201805","http://survivor.wikia.com/wiki/Brady_Finta","Huntington Beach, CA","Vanuatu","9","Alpha Male Control Freak","33","14","10","6","","","0","0","2","0",
"Stephen","Fishbach","","","Corporate consultant","M","http://vignette3.wikia.nocookie.net/survivor/images/0/08/S18_stephen_t.jpg/revision/latest?cb=20120830205328","http://survivor.wikia.com/wiki/Stephen_Fishbach","New York City, NY","Tocantins","18","Know-It-All","29","2","39","1","","","0","0","5","2",
"Stephen","Fishbach","","","Corporate consultant","M","http://vignette3.wikia.nocookie.net/survivor/images/0/08/S18_stephen_t.jpg/revision/latest?cb=20120830205328","http://survivor.wikia.com/wiki/Stephen_Fishbach","New York City, NY","Cambodia: Second Chance","31","Know-It-All","37","9","29","9","","","0","0","0","0",
"Michele","Fitzgerald","","","Bartender","F","http://vignette2.wikia.nocookie.net/survivor/images/6/64/S32_Michelle_Fitzgerald.jpg/revision/latest?cb=20160120170516","http://survivor.wikia.com/wiki/Michele_Fitzgerald","Freehold, New Jersey","Kaoh Rong: BBB2","32","Lady Gaga","25","1","39","0","","","0","0","0","0",
"Dan","Foley","","","Postal Worker","M","http://vignette1.wikia.nocookie.net/survivor/images/2/2e/S30_dan_t.png/revision/latest?cb=20150121191559","http://survivor.wikia.com/wiki/Dan_Foley","Gorham, ME","Worlds Apart","30","Heisenberg","47","6","35","9","","","0","0","5","2",
"Hali","Ford","","","Law Student","F","http://vignette3.wikia.nocookie.net/survivor/images/f/fb/S30_hali_t.png/revision/latest?cb=20150121191122","http://survivor.wikia.com/wiki/Hali_Ford","San Francisco, CA","Worlds Apart","30","Secretly Smart Bikini Babe","25","11","22","8","","","0","0","5","0",
"Hali","Ford","","","Law Student","F","http://vignette3.wikia.nocookie.net/survivor/images/f/fb/S30_hali_t.png/revision/latest?cb=20150121191122","http://survivor.wikia.com/wiki/Hali_Ford","San Francisco, CA","Game Changers","34","Secretly Smart Bikini Babe","27","13","1","0","Mana","","0","0","0","0",
"Rachel","Foulger","","","Cocktail Waitress/Graphic Designer","F","http://vignette2.wikia.nocookie.net/survivor/images/f/f3/S27_rachel_t.jpg/revision/latest?cb=20130821173723","http://survivor.wikia.com/wiki/Rachel_Foulger","Provo, UT","Blood vs. Water","27","Little Red Riding Hood","33","18","7","5","","","0","0","0","0",
"Eddie","Fox","","","FiremanEmergency Medical Technician (EMT)","M","http://vignette4.wikia.nocookie.net/survivor/images/a/ad/S26_eddie_t.jpg/revision/latest?cb=20130111183731","http://survivor.wikia.com/wiki/Eddie_Fox","East Brunswick, NJ","Caramoan: Fans vs Favourites 2","26","John McClane","23","4","38","16","","","0","0","4","1",
"Tasha","Fox","","","Accountant","F","http://vignette3.wikia.nocookie.net/survivor/images/4/4a/S28_tasha_c.png/revision/latest?cb=20140125111458","http://survivor.wikia.com/wiki/Tasha_Fox","St.Louis, MO","Cagayan: BBB1","28","Erin Brockovich","37","6","33","4","","","0","0","2","4",
"Tasha","Fox","","","Accountant","F","http://vignette3.wikia.nocookie.net/survivor/images/4/4a/S28_tasha_c.png/revision/latest?cb=20140125111458","http://survivor.wikia.com/wiki/Tasha_Fox","St.Louis, MO","Cambodia: Second Chance","31","Erin Brockovich","40","2","39","8","","","0","0","0","0",
"Cassandra","Franklin","","","College Administrator","F","http://vignette1.wikia.nocookie.net/survivor/images/a/a2/S14_cassandra_t.jpg/revision/latest?cb=20120830033828","http://survivor.wikia.com/wiki/Cassandra_Franklin","Los Angeles, CA","Fiji","14","I Can See Your Periscope","42","2","39","5","","","0","0","12","2",
"Malcolm","Freberg","","","Bartender","M","http://vignette4.wikia.nocookie.net/survivor/images/e/e6/S25_malcolm_t.jpg/revision/latest?cb=20120821052944","http://survivor.wikia.com/wiki/Malcolm_Freberg","Hermosa Beach, CA","Philippines","25","John McClane","25","4","38","6","","","0","0","6","4",
"Malcolm","Freberg","","","Bartender","M","http://vignette4.wikia.nocookie.net/survivor/images/e/e6/S25_malcolm_t.jpg/revision/latest?cb=20120821052944","http://survivor.wikia.com/wiki/Malcolm_Freberg","Hermosa Beach, CA","Caramoan: Fans vs Favourites 2","26","John McClane","25","9","30","11","","","0","0","0","0",
"Malcolm","Freberg","","","Bartender","M","http://vignette4.wikia.nocookie.net/survivor/images/e/e6/S25_malcolm_t.jpg/revision/latest?cb=20120821052944","http://survivor.wikia.com/wiki/Malcolm_Freberg","Hermosa Beach, CA","Game Changers","34","John McClane","29","17","1","0","Mana","","0","0","0","0",
"Tyler","Fredrickson","","","Ex-Talent Agent Assistant","M","http://vignette4.wikia.nocookie.net/survivor/images/b/ba/S30_tyler_t.png/revision/latest?cb=20150121192011","http://survivor.wikia.com/wiki/Tyler_Fredrickson","Los Angeles, CA","Worlds Apart","30","Know-It-All","33","7","32","5","","","0","0","6","3",
"Rory","Freeman","","","Housing Case Manager","M","http://vignette2.wikia.nocookie.net/survivor/images/8/8e/S9_rory_t.jpg/revision/latest?cb=20120829202102","http://survivor.wikia.com/wiki/Rory_Freeman","Des Moines, IA","Vanuatu","9","Mr. Miyagi","35","10","21","14","","","0","0","4","0",
"Silas","Gaither","","","Bartender","M","http://vignette4.wikia.nocookie.net/survivor/images/7/71/S3_silas_t.jpg/revision/latest?cb=20120828072520","http://survivor.wikia.com/wiki/Silas_Gaither","Germantown, TN","Africa","3","John McClane","22","12","15","8","","","0","0","5","0",
"Mia","Galeotalanza","","","Bookkeeper","F","http://vignette1.wikia.nocookie.net/survivor/images/7/7d/S9_mia_t.jpg/revision/latest?cb=20120829202047","http://survivor.wikia.com/wiki/Mia_Galeotalanza","Toms River, NJ","Vanuatu","9","Lady Gaga","29","15","7","5","","","0","0","2","0",
"Katie","Gallagher","","","Ad Executive","F","http://vignette4.wikia.nocookie.net/survivor/images/1/17/S10_katie_t.jpg/revision/latest?cb=20120829223305","http://survivor.wikia.com/wiki/Katie_Gallagher","Merced, CA","Palau","10","Meredith Grey","29","2","39","1","","","0","0","11","0",
"Billy","Garcia","","","Heavy Metal Musician","M","http://vignette4.wikia.nocookie.net/survivor/images/1/1e/S13_billy_t.jpg/revision/latest?cb=20120830005533","http://survivor.wikia.com/wiki/Billy_Garcia","New York City, NY","Cook Islands","13","Ponyboy","36","19","6","4","","","0","0","1","0",
"Frank","Garrison","","","Telephone Technician","M","http://vignette1.wikia.nocookie.net/survivor/images/8/8c/S3_frank_t.jpg/revision/latest?cb=20130112212740","http://survivor.wikia.com/wiki/Frank_Garrison","Odessa, NY","Africa","3","True Grit","43","7","30","9","","","0","0","6","1",
"Adam","Gentry","","","Copier Sales","M","http://vignette1.wikia.nocookie.net/survivor/images/5/57/S13_adam_t.jpg/revision/latest?cb=20120830005341","http://survivor.wikia.com/wiki/Adam_Gentry","San Diego, CA","Cook Islands","13","Seduce and Destroy","27","5","37","5","","","0","0","5","1",
"Jan","Gentry","","","Teacher","F","http://vignette3.wikia.nocookie.net/survivor/images/e/e3/S5_jan_t.jpg/revision/latest?cb=20120829021339","http://survivor.wikia.com/wiki/Jan_Gentry","Tampa, FL","Thailand","5","Crazy Cat Lady","53","3","38","5","","","0","0","6","0",
"Brook","Geraghty","","","Document Manager","F","http://vignette3.wikia.nocookie.net/survivor/images/c/c8/S9_brook_t.jpg/revision/latest?cb=20120829201818","http://survivor.wikia.com/wiki/Brook_Geraghty","Huntington Beach, CA","Vanuatu","9","Seduce and Destroy","27","18","3","5","","","0","0","0","0",
"Misty","Giles","","","Missile Engineer;Former beauty queen","F","http://vignette4.wikia.nocookie.net/survivor/images/5/5f/S12_misty_t.jpg/revision/latest?cb=20120830001909","http://survivor.wikia.com/wiki/Misty_Giles","Dallas, TX","Panama: Exile Island","12","Meredith Grey","24","14","8","5","","","0","0","4","0",
"Yasmin","Giles","","","Hairdresser","F","http://vignette2.wikia.nocookie.net/survivor/images/3/37/S19_yasmin_t.jpg/revision/latest?cb=20120830170919","http://survivor.wikia.com/wiki/Yasmin_Giles","Los Angeles, CA","Samoa","19","Oh No You Didn't!","33","16","11","8","","","0","0","4","0",
"Cydney","Gillon","","","Bodybuilder","F","http://vignette4.wikia.nocookie.net/survivor/images/0/03/S32_Cyndey_Gillon.jpg/revision/latest?cb=20160120174133","http://survivor.wikia.com/wiki/Cydney_Gillon","Douglasville, Georgia","Kaoh Rong: BBB2","32","G.I. Jane","23","4","37","3","","","0","0","0","0",
"Kel","Gleason","","","Army Intelligence Officer","M","http://vignette1.wikia.nocookie.net/survivor/images/5/51/S2_kel_t.jpg/revision/latest?cb=20120828061507","http://survivor.wikia.com/wiki/Kel_Gleason","Ford Hood, TX","The Australian Outback","2","True Grit","32","15","6","7","","","0","0","2","0",
"Helen","Glover","","","Navy Swim Instructor","F","http://vignette4.wikia.nocookie.net/survivor/images/5/5f/S5_helen_t.jpg/revision/latest?cb=20120829021308","http://survivor.wikia.com/wiki/Helen_Glover","Middletown, RI","Thailand","5","I Can See Your Periscope","47","4","37","5","","","0","0","6","2",
"Kelly","Goldsmith","","","Behavior research analyst","F","http://vignette4.wikia.nocookie.net/survivor/images/8/87/S3_kelly_t.jpg/revision/latest?cb=20120828072343","http://survivor.wikia.com/wiki/Kelly_Goldsmith","Rancho Santa Fe, CA","Africa","3","Secretly Smart Bikini Babe","22","9","24","5","","","0","0","5","0",
"Abi-Maria","Gomes","","","Business Student","F","http://vignette2.wikia.nocookie.net/survivor/images/a/a0/S25_abimaria_t.jpg/revision/latest?cb=20120821052352","http://survivor.wikia.com/wiki/Abi-Maria_Gomes","Los Angeles, CA","Philippines","25","Oh No You Didn't!","32","5","36","9","","","0","0","7","2",
"Abi-Maria","Gomes","","","Business Student","F","http://vignette2.wikia.nocookie.net/survivor/images/a/a0/S25_abimaria_t.jpg/revision/latest?cb=20120821052352","http://survivor.wikia.com/wiki/Abi-Maria_Gomes","Los Angeles, CA","Cambodia: Second Chance","31","Oh No You Didn't!","36","7","35","14","","","0","0","0","0",
"Liliana","Gomez","","","Loan Officer","F","http://vignette3.wikia.nocookie.net/survivor/images/e/ea/S14_liliana_t.jpg/revision/latest?cb=20120830034019","http://survivor.wikia.com/wiki/Liliana_Gomez","Oxnard, CA","Fiji","14","Meredith Grey","25","15","11","6","","","0","0","6","0",
"Nate","Gonzalez","","","Retail Sales","M","http://vignette3.wikia.nocookie.net/survivor/images/c/ca/S13_nate_t.jpg/revision/latest?cb=20120830005809","http://survivor.wikia.com/wiki/Nate_Gonzalez","Los Angeles, CA","Cook Islands","13","Seduce and Destroy","25","9","27","5","","","0","0","4","0",
"Stephanie","Gonzalez","","","Graphic Sales","F","https://vignette.wikia.nocookie.net/survivor/images/a/a3/S36_Stephanie_Gonzalez.jpg/revision/latest?cb=20180131173658","http://survivor.wikia.com/wiki/Stephanie_Gonzalez","Ocala, Florida","Survivor: Ghost Island","36","","0","0","0","0","","","0","0","0","0",
"Ace","Gordon","","","Fashion Photographer","M","http://vignette2.wikia.nocookie.net/survivor/images/4/4d/S17_ace_t.jpg/revision/latest?cb=20120830155956","http://survivor.wikia.com/wiki/Ace_Gordon","Naples, FL","Gabon","17","Alpha Male Control Freak","27","12","21","5","","","0","0","3","0",
"Neal","Gottlieb","","","Ice cream entrepreneur","M","http://vignette1.wikia.nocookie.net/survivor/images/b/b2/S32_Neal_Gottlieb.jpg/revision/latest?cb=20160120172648","http://survivor.wikia.com/wiki/Neal_Gottlieb","Sausalito, California","Kaoh Rong: BBB2","32","Ponyboy","39","11","19","0","","","0","0","0","0",
"Ramona","Gray","","","Biochemist","F","http://vignette4.wikia.nocookie.net/survivor/images/8/8a/S1_ramona_t.jpg/revision/latest?cb=20130112212739","http://survivor.wikia.com/wiki/Ramona_Gray","Edison, NJ","Borneo","1","Meredith Grey","28","13","12","6","","","0","0","3","0",
"Caryn","Groedel","","","Civil Rights Lawyer","F","http://vignette4.wikia.nocookie.net/survivor/images/6/66/S10_caryn_t.jpg/revision/latest?cb=20120829222951","http://survivor.wikia.com/wiki/Caryn_Groedel","Solon, OH","Palau","10","I Can See Your Periscope","46","5","36","7","","","0","0","11","1",
"Jenny","Guzon-Bae","","","Real Estate Agent","F","http://vignette3.wikia.nocookie.net/survivor/images/c/c1/S13_jenny_t.jpg/revision/latest?cb=20120830005705","http://survivor.wikia.com/wiki/Jenny_Guzon-Bae","Lake Forest, IL","Cook Islands","13","Meredith Grey","36","10","24","6","","","0","0","5","0",
"Cindy","Hall","","","Zookeeper","F","http://vignette3.wikia.nocookie.net/survivor/images/8/83/S11_cindy_t.jpg/revision/latest?cb=20120829231835","http://survivor.wikia.com/wiki/Cindy_Hall","Naples, FL","Guatemala","11","Lady Gaga","34","5","36","6","","","0","0","8","2",
"Darnell","Hamilton","","","Postal worker","M","http://vignette3.wikia.nocookie.net/survivor/images/1/17/S31_Darnell_Hamilton.jpg/revision/latest?cb=20160120161757","http://survivor.wikia.com/wiki/Darnell_Hamilton","Chicago, Illinois","Kaoh Rong: BBB2","32","John McClane","27","18","3","7","","","0","0","0","0",
"Chris","Hammons","","","Trial Lawyer","M","http://vignette1.wikia.nocookie.net/survivor/images/2/25/S33-chris-hammons.jpg/revision/latest?cb=20160817174539","http://survivor.wikia.com/wiki/Chris_Hammons","Moore, Oklahoma","Millennials vs Gen X","33","Alpha Male Control Freak","18","11","28","7","","","0","0","0","0",
"Katie","Hanson","","","Former Miss Delaware","F","http://vignette1.wikia.nocookie.net/survivor/images/d/d5/S25_katie_t.jpg/revision/latest?cb=20120821052834","http://survivor.wikia.com/wiki/Katie_Hanson","Newark, DE","Philippines","25","Siren","22","12","16","4","","","0","0","5","0",
"Brandon","Hantz","","","Oil tanker crewman","M","http://vignette1.wikia.nocookie.net/survivor/images/0/0b/S23_brandon_t.jpg/revision/latest?cb=20120830202842","http://survivor.wikia.com/wiki/Brandon_Hantz","Katy, TX","South Pacific","23","Ponyboy","19","6","36","4","","","0","0","4","1",
"Brandon","Hantz","","","Oil tanker crewman","M","http://vignette1.wikia.nocookie.net/survivor/images/0/0b/S23_brandon_t.jpg/revision/latest?cb=20120830202842","http://survivor.wikia.com/wiki/Brandon_Hantz","Katy, TX","Caramoan: Fans vs Favourites 2","26","Ponyboy","21","15","13","8","","","0","0","0","0",
"Russell","Hantz","","","Oil Company Owner","M","http://vignette3.wikia.nocookie.net/survivor/images/7/72/S19_russellh_t.jpg/revision/latest?cb=20120830170731","http://survivor.wikia.com/wiki/Russell_Hantz","Dayton, TX","Samoa","19","Heisenberg","36","2","39","9","","","0","0","2","3",
"Russell","Hantz","","","Oil Company Owner","M","http://vignette3.wikia.nocookie.net/survivor/images/7/72/S19_russellh_t.jpg/revision/latest?cb=20120830170731","http://survivor.wikia.com/wiki/Russell_Hantz","Dayton, TX","Heroes vs Villains","20","Heisenberg","37","3","39","5","","","0","0","0","0",
"Russell","Hantz","","","Oil Company Owner","M","http://vignette3.wikia.nocookie.net/survivor/images/7/72/S19_russellh_t.jpg/revision/latest?cb=20120830170731","http://survivor.wikia.com/wiki/Russell_Hantz","Dayton, TX","Redemption Island","22","Heisenberg","38","17","10","8","","","0","0","0","0",
"Peter","Harkey","","","Bowling Alley Owner","M","http://vignette2.wikia.nocookie.net/survivor/images/7/77/S4_peter_t.jpg/revision/latest?cb=20120828082655","http://survivor.wikia.com/wiki/Peter_Harkey","Millis, MA","Marquesas","4","The Specialist","45","16","3","5","","","0","0","0","0",
"Colleen","Haskell","","","College student","F","http://vignette4.wikia.nocookie.net/survivor/images/8/83/S1_colleen_t.jpg/revision/latest?cb=20120828052840","http://survivor.wikia.com/wiki/Colleen_Haskell","Miami Beach, FL","Borneo","1","Secretly Smart Bikini Babe","23","6","33","7","","","0","0","6","1",
"Christa","Hastie","","","Computer Programmer","F","http://vignette4.wikia.nocookie.net/survivor/images/8/8b/S7_christa_t.jpg/revision/latest?cb=20120829190151","http://survivor.wikia.com/wiki/Christa_Hastie","Los Angeles, CA","Pearl Islands","7","Secretly Smart Bikini Babe","24","6","33","7","","","0","0","7","0",
"Richard","Hatch","","","Corporate trainer","M","http://vignette2.wikia.nocookie.net/survivor/images/a/a2/S1_richard_t.jpg/revision/latest?cb=20120831175820","http://survivor.wikia.com/wiki/Richard_Hatch","Newport, RI","Borneo","1","Heisenberg","39","1","39","6","","","0","0","5","1",
